Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],15E-6,,
Negative electrode thickness [m],50E-6,,
Separator thickness [m],50E-6,,
Positive current collector thickness [m],15E-6,,
Electrode height [m],1,,
Electrode width [m],1,,
Cell cooling surface area [m2],,,
Cell volume [m3],,,
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],58411000,CRC Handbook,copper
Positive current collector conductivity [S.m-1],36914000,CRC Handbook,aluminium
,,,
# Density,,,
Negative current collector density [kg.m-3],8960,CRC Handbook,copper
Positive current collector density [kg.m-3],2700,CRC Handbook,aluminium
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,CRC Handbook,copper
Positive current collector specific heat capacity [J.kg-1.K-1],897,CRC Handbook,aluminium
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,CRC Handbook,copper
Positive current collector thermal conductivity [W.m-1.K-1],237,CRC Handbook,aluminium
,,,
# Electrical,,,
Nominal cell capacity [A.h],5,,
Typical current [A],5E-3,,
Current function [A],1E-3,,